ticker,ret_5d,rv_z
XLE,0.02790295648289942,2.013
EWS,0.00847775365646064,1.437
KEX,0.04457789083841268,1.304
IWM,-0.01597438504481763,1.04
NU,0.003599657006817969,1.038
AMZN,-0.011075278432307267,1.017
XLF,0.003886325297162596,1.004
USO,0.012845115717469158,0.776
MELI,-0.02050298816429641,0.766
MA,-0.00335344674171123,0.691
EWT,-0.0035719389574294658,0.601
FDX,0.02038789119955564,0.558
XLK,-0.011038082835814644,0.377
IEF,-0.0074275458905025404,0.333
UUP,-0.007529547833213579,0.331
JD,-0.037076244646021106,0.325
TLT,-0.008204287924213127,0.316
XLI,-0.018098972596455654,0.081
V,-0.017972322940625007,-0.039
XPO,0.0007704550353624384,-0.047
SPY,-0.018041555783047003,-0.085
PYPL,-0.019821896973271413,-0.131
XLY,-0.028143629166557105,-0.341
XLV,-0.02977496264759505,-0.41
AAXJ,-0.018662835905189912,-0.445
UPS,-0.013887444571910601,-0.499
EEM,-0.020422532799177162,-0.568
XLRE,-0.0392899372168547,-0.809
XLP,-0.040712733481401586,-0.869
SE,-0.08313955262649886,-0.901
QQQ,-0.01963884275397154,-0.955
VWO,-0.027027009850068007,-1.026
XLB,-0.04492781350216746,-1.046
BABA,-0.09466757204476228,-1.208
GRAB,-0.0404312921361456,-1.317
SOFI,-0.0484234571660086,-1.558
GLD,-0.10298583419890528,-1.755
